temperature,city,pression,date
285.35,Paris,1027,2023-09-30 00:51
285.68,London,1024,2023-09-30 00:51
286.78,Washington,1012,2023-09-30 00:51
285.45,Paris,1026,2023-09-30 00:31
285.68,London,1023,2023-09-30 00:31
287.48,Washington,1012,2023-09-30 00:31
285.35,Paris,1027,2023-09-30 01:00
285.67,London,1024,2023-09-30 01:00
286.18,Washington,1012,2023-09-30 01:00
285.34,Paris,1026,2023-09-30 01:01
285.67,London,1024,2023-09-30 01:01
285.91,Washington,1012,2023-09-30 01:01
285.36,Paris,1026,2023-09-30 01:14
285.58,London,1024,2023-09-30 01:14
286.26,Washington,1012,2023-09-30 01:14
285.34,Paris,1026,2023-09-30 01:22
285.58,London,1024,2023-09-30 01:22
285.64,Washington,1012,2023-09-30 01:22
285.1,Paris,1026,2023-09-30 01:25
285.47,London,1024,2023-09-30 01:25
285.64,Washington,1012,2023-09-30 01:25
285.12,Paris,1026,2023-09-30 01:32
285.47,London,1024,2023-09-30 01:32
284.9,Washington,1012,2023-09-30 01:32
284.95,Paris,1026,2023-09-30 01:33
285.4,London,1024,2023-09-30 01:33
284.9,Washington,1012,2023-09-30 01:33
285.35,Paris,1027,2023-09-30 00:53
285.68,London,1024,2023-09-30 00:53
286.78,Washington,1012,2023-09-30 00:53
285.35,Paris,1027,2023-09-30 00:52
285.68,London,1024,2023-09-30 00:52
286.78,Washington,1012,2023-09-30 00:52
285.35,Paris,1027,2023-09-30 00:51 copy
285.68,London,1024,2023-09-30 00:51 copy
286.78,Washington,1012,2023-09-30 00:51 copy
285.35,Paris,1027,2023-09-30 00:51 copy 5
285.68,London,1024,2023-09-30 00:51 copy 5
286.78,Washington,1012,2023-09-30 00:51 copy 5
285.35,Paris,1027,2023-09-30 00:51 copy 4
285.68,London,1024,2023-09-30 00:51 copy 4
286.78,Washington,1012,2023-09-30 00:51 copy 4
285.35,Paris,1027,2023-09-30 00:51 copy 3
285.68,London,1024,2023-09-30 00:51 copy 3
286.78,Washington,1012,2023-09-30 00:51 copy 3
285.35,Paris,1027,2023-09-30 00:51 copy 2
285.68,London,1024,2023-09-30 00:51 copy 2
286.78,Washington,1012,2023-09-30 00:51 copy 2
284.8,Paris,1026,2023-09-30 01:39
285.4,London,1024,2023-09-30 01:39
284.9,Washington,1012,2023-09-30 01:39
285.35,Paris,1027,2023-09-30 00:58
285.68,London,1024,2023-09-30 00:58
286.78,Washington,1012,2023-09-30 00:58
285.35,Paris,1027,2023-09-30 00:57
285.68,London,1024,2023-09-30 00:57
286.78,Washington,1012,2023-09-30 00:57
285.35,Paris,1027,2023-09-30 00:56
285.68,London,1024,2023-09-30 00:56
286.78,Washington,1012,2023-09-30 00:56
285.35,Paris,1027,2023-09-30 00:55
285.68,London,1024,2023-09-30 00:55
286.78,Washington,1012,2023-09-30 00:55
285.35,Paris,1027,2023-09-30 00:54
285.68,London,1024,2023-09-30 00:54
286.78,Washington,1012,2023-09-30 00:54
285.45,Paris,1026,2023-09-30 00:31 copy
285.68,London,1023,2023-09-30 00:31 copy
287.48,Washington,1012,2023-09-30 00:31 copy
285.45,Paris,1026,2023-09-30 00:31 copy 6
285.68,London,1023,2023-09-30 00:31 copy 6
287.48,Washington,1012,2023-09-30 00:31 copy 6
285.45,Paris,1026,2023-09-30 00:31 copy 5
285.68,London,1023,2023-09-30 00:31 copy 5
287.48,Washington,1012,2023-09-30 00:31 copy 5
285.45,Paris,1026,2023-09-30 00:37
285.68,London,1023,2023-09-30 00:37
287.48,Washington,1012,2023-09-30 00:37
285.45,Paris,1026,2023-09-30 00:36
285.68,London,1023,2023-09-30 00:36
287.48,Washington,1012,2023-09-30 00:36
285.45,Paris,1026,2023-09-30 00:35
285.68,London,1023,2023-09-30 00:35
287.48,Washington,1012,2023-09-30 00:35
285.45,Paris,1026,2023-09-30 00:34
285.68,London,1023,2023-09-30 00:34
287.48,Washington,1012,2023-09-30 00:34
284.68,Paris,1026,2023-09-30 01:41
285.4,London,1024,2023-09-30 01:41
284.76,Washington,1012,2023-09-30 01:41
284.8,Paris,1026,2023-09-30 01:44
285.4,London,1024,2023-09-30 01:44
284.8,Washington,1012,2023-09-30 01:44
284.68,Paris,1026,2023-09-30 01:48
285.37,London,1024,2023-09-30 01:48
284.8,Washington,1012,2023-09-30 01:48
284.68,Paris,1026,2023-09-30 01:50
285.4,London,1024,2023-09-30 01:50
284.33,Washington,1012,2023-09-30 01:50
284.83,Paris,1026,2023-09-30 01:52
285.4,London,1024,2023-09-30 01:52
284.33,Washington,1012,2023-09-30 01:52
284.83,Paris,1026,2023-09-30 02:06
285.29,London,1024,2023-09-30 02:06
283.37,Washington,1012,2023-09-30 02:06
284.85,Paris,1026,2023-09-30 02:12
285.26,London,1024,2023-09-30 02:12
283.37,Washington,1012,2023-09-30 02:12
284.85,Paris,1026,2023-09-30 02:20
285.24,London,1024,2023-09-30 02:20
283.09,Washington,1012,2023-09-30 02:20
284.65,Paris,1026,2023-09-30 02:27
285.14,London,1022,2023-09-30 02:27
282.44,Washington,1012,2023-09-30 02:27
284.65,Paris,1026,2023-09-30 02:28
285.1,London,1021,2023-09-30 02:28
282.44,Washington,1012,2023-09-30 02:28
284.66,Paris,1026,2023-09-30 02:40
285.13,London,1024,2023-09-30 02:40
282.07,Washington,1013,2023-09-30 02:40
284.63,Paris,1026,2023-09-30 02:45
284.96,London,1026,2023-09-30 02:45
281.92,Washington,1013,2023-09-30 02:45
284.63,Paris,1026,2023-09-30 02:50
284.86,London,1026,2023-09-30 02:50
281.92,Washington,1013,2023-09-30 02:50
284.57,Paris,1026,2023-09-30 02:58
284.86,London,1026,2023-09-30 02:58
280.8,Washington,1013,2023-09-30 02:58
284.57,Paris,1026,2023-09-30 02:59
284.86,London,1026,2023-09-30 02:59
280.8,Washington,1013,2023-09-30 02:59
284.57,Paris,1026,2023-09-30 03:00
284.86,London,1026,2023-09-30 03:00
281.56,Washington,1013,2023-09-30 03:00
284.45,Paris,1026,2023-09-30 03:05
284.72,London,1025,2023-09-30 03:05
281.56,Washington,1013,2023-09-30 03:05
284.45,Paris,1026,2023-09-30 03:09
284.86,London,1026,2023-09-30 03:09
281.8,Washington,1013,2023-09-30 03:09
284.5,Paris,1026,2023-09-30 03:10
284.86,London,1026,2023-09-30 03:10
281.8,Washington,1013,2023-09-30 03:10
286.13,Paris,1027,2023-09-30 08:00
285.16,London,1026,2023-09-30 08:00
278.39,Washington,1015,2023-09-30 08:00
286.13,Paris,1027,2023-09-30 07:59
285.16,London,1026,2023-09-30 07:59
278.39,Washington,1015,2023-09-30 07:59
286.13,Paris,1027,2023-09-30 08:06
285.39,London,1026,2023-09-30 08:06
278.37,Washington,1015,2023-09-30 08:06
286.45,Paris,1027,2023-09-30 08:07
285.39,London,1026,2023-09-30 08:07
278.37,Washington,1015,2023-09-30 08:07
286.45,Paris,1027,2023-09-30 08:11
285.88,London,1026,2023-09-30 08:11
278.37,Washington,1015,2023-09-30 08:11
